Resource,Start,End,Track,Train
1,0.01,1.01,1,13
2,0.65,1.65,2,12
3,2.43,3.43,3,11
1,3.49,4.49,4,10
2,5.03,6.03,5,0
1,6.93,7.93,6,0
3,8.44,9.44,7,9
2,10.28,11.28,8,8
1,11.82,12.82,10,7
2,13.19,14.19,11,0
3,15.13,16.13,13,6
1,17.17,18.17,14,5
2,18.00,19.00,15,4
3,19.19,20.19,16,3
1,20.57,21.57,17,2
3,22.77,23.77,18,0
1,28.51,29.51,22,0
2,27.55,28.55,21,0
1,25.28,26.28,20,0
2,24.04,25.04,19,1
1,30.83,31.83,24,0
3,29.56,30.56,23,12
4,32.36,32.36,26,11
5,32.36,32.66,26,11
2,32.60,33.60,26,11
3,32.25,33.25,25,0
3,36.60,37.60,29,0
1,34.24,35.24,27,13
2,37.11,38.11,30,0
6,38.08,38.08,31,8
7,38.08,39.28,31,8
1,39.20,40.20,31,8
8,39.56,39.56,32,9
9,39.56,41.56,32,9
4,40.91,40.91,33,10
5,40.91,42.21,33,10
3,41.53,42.53,32,9
2,42.19,43.19,33,10
6,43.22,43.22,34,7
7,43.22,43.92,34,7
1,43.82,44.82,34,7
8,44.66,44.66,35,6
9,44.66,45.86,35,6
3,45.84,46.84,35,6
6,47.34,47.34,37,5
7,47.34,47.94,37,5
2,46.93,47.93,36,0
1,47.56,48.56,37,5
8,48.32,48.32,38,3
9,48.32,50.22,38,3
3,50.18,51.18,38,3
4,46.35,46.35,40,4
5,46.35,51.75,40,4
1,50.67,51.67,39,0
2,51.72,52.72,40,4
6,52.35,52.35,42,1
7,52.35,54.15,42,1
8,50.60,53.10,43,12
9,53.10,55.00,43,12
10,29.62,50.60,23,12
11,29.62,35.54,23,12
1,54.13,55.13,42,1
3,54.99,55.99,43,12
4,54.47,54.47,44,11
5,54.47,57.67,44,11
10,32.66,54.47,26,11
11,32.66,38.57,26,11
6,51.46,51.46,45,2
7,51.46,58.16,45,2
2,57.07,58.07,44,11
1,58.07,59.07,45,2
8,59.35,59.35,46,8
9,59.35,59.35,46,8
12,39.28,59.35,31,8
13,39.28,43.23,31,8
3,59.29,60.29,46,8
6,60.87,60.87,48,9
7,60.87,62.17,48,9
14,41.56,60.87,32,9
15,41.56,45.86,32,9
