StartTime,EndTime,LocationIndex,TrainID
14.4,14.4,1,1
17.2,17.2,2,1
20,20,3,1
23.2,23.2,9,1
26.6,26.6,10,1
32.6,32.6,12,1
32.6,36.6,1,1
34.6,132,8,1
36.6,132,8,1
38.6,131,7,1
38.6,131,13,1
131,255.3,14,1
24,24,1,2
26.8,26.8,2,2
29.6,29.6,3,2
32.8,32.8,9,2
36.2,36.2,10,2
42.3,42.3,12,2
42.3,46.3,1,2
44.3,135.5,10,2
46.3,135.5,10,2
48.3,134.7,8,2
48.3,134.7,15,2
134.7,248.3,16,2
34.1,34.1,1,3
37,37,2,3
39.8,39.8,3,3
43,43,9,3
46.3,46.3,14,3
47.4,47.4,15,3
48.9,48.9,16,3
50.6,50.6,17,3
52.1,54.1,18,3
52.1,56.1,2,3
54.1,94,1,3
56.1,141.8,1,3
58.1,177.6,1,3
58.1,303.3,1,3
44.4,44.4,1,4
47.2,47.2,2,4
50,50,3,4
53.2,53.2,9,4
56.5,56.5,14,4
57.6,57.6,15,4
59.1,59.1,16,4
60.8,60.8,17,4
62.3,64.3,18,4
62.3,66.3,2,4
64.3,93.3,2,4
66.3,126.5,2,4
68.3,151.4,2,4
68.3,285.2,3,4
53.9,53.9,1,5
56.8,56.8,2,5
59.6,59.6,3,5
62.8,62.8,9,5
66.1,66.1,14,5
67.2,67.2,15,5
68.7,68.7,16,5
70.4,70.4,17,5
71.9,73.9,18,5
71.9,75.9,2,5
73.9,104.8,3,5
75.9,140.7,3,5
77.9,167.6,3,5
77.9,261,5,5
64.2,64.2,1,6
67,67,2,6
69.8,69.8,3,6
73,73,9,6
76.3,76.3,14,6
77.4,77.4,15,6
78.9,78.9,16,6
80.6,80.6,17,6
82.1,84.1,18,6
82.1,86.1,2,6
84.1,119.8,4,6
86.1,162.1,4,6
88.1,193.8,4,6
88.1,272.1,7,6
74.3,74.3,1,7
77.2,77.2,2,7
80,80,3,7
83.2,83.2,9,7
86.5,86.5,14,7
87.6,87.6,15,7
89.2,93.2,3,7
91.2,183.5,5,7
93.2,183.5,5,7
95.2,182.6,5,7
95.2,182.6,9,7
182.6,290.3,10,7
84,84,1,8
86.8,86.8,2,8
89.6,89.6,3,8
92.8,92.8,9,8
96.1,96.1,14,8
97.2,97.2,15,8
98.8,102.8,3,8
100.8,179.1,7,8
102.8,179.1,7,8
104.8,178.4,6,8
104.8,178.4,11,8
178.4,271.1,12,8
94.2,94.2,1,9
97,97,2,9
99.8,99.8,3,9
103,103,9,9
106.4,106.4,10,9
112.5,112.5,12,9
112.5,116.5,1,9
114.5,202.8,9,9
116.5,202.8,9,9
131,202.1,7,9
131,255.3,13,9
255.3,296.4,14,9
104.3,104.3,1,10
107.2,107.2,2,10
110,110,3,10
113.2,113.2,9,10
116.6,116.6,10,10
122.7,134.7,12,10
134.7,138.7,1,10
136.7,251.1,10,10
138.7,251.1,10,10
140.7,250,8,10
140.7,250,15,10
250,325.8,16,10
114,114,1,11
116.8,116.8,2,11
119.6,119.6,3,11
122.8,122.8,9,11
126.1,126.1,14,11
127.2,127.2,15,11
128.8,132.8,3,11
130.8,280.4,6,11
132.8,280.4,6,11
178.4,279.4,6,11
178.4,279.4,11,11
279.4,396.9,12,11
124.2,124.2,1,12
127,127,2,12
129.8,129.8,3,12
133,133,9,12
136.3,136.3,14,12
137.4,181,15,12
182.6,186.6,3,12
184.6,297.5,5,12
186.6,297.5,5,12
188.6,296.4,5,12
188.6,296.4,9,12
296.4,402.1,10,12
134.3,134.3,1,13
137.2,137.2,2,13
140,140,3,13
143.2,143.2,9,13
146.5,146.5,10,13
152.6,200.8,12,13
152.6,204.8,1,13
202.8,356.2,9,13
204.8,356.2,9,13
250,355.2,8,13
250,355.2,15,13
355.2,500.1,16,13
144,144,1,14
146.8,146.8,2,14
149.6,149.6,3,14
152.8,152.8,9,14
156.2,199.7,10,14
205.8,205.8,12,14
205.8,209.8,1,14
207.8,309,8,14
209.8,309,8,14
255.3,308.4,7,14
255.3,308.4,13,14
308.4,455.8,14,14
154.2,154.2,1,15
157,157,2,15
159.8,159.8,3,15
163,163,9,15
166.3,185,14,15
186,186,15,15
187.6,187.6,16,15
189.2,189.2,17,15
190.8,192.8,18,15
190.8,194.8,2,15
192.8,282.1,3,15
194.8,310.1,3,15
